expression.among.q01	expression.among.q05	expression.among.q50	expression.among.q95	expression.among.q99	expression.within.P.q01	expression.within.P.q05	expression.within.P.q50	expression.within.P.q95	expression.within.P.q99	expression.within.R.q01	expression.within.R.q05	expression.within.R.q50	expression.within.R.q95	expression.within.R.q99	expression.sample.X12A_saliva.q01	expression.sample.X12A_saliva.q05	expression.sample.X12A_saliva.q50	expression.sample.X12A_saliva.q95	expression.sample.X12A_saliva.q99	expression.sample.X33A_saliva.q01	expression.sample.X33A_saliva.q05	expression.sample.X33A_saliva.q50	expression.sample.X33A_saliva.q95	expression.sample.X33A_saliva.q99	expression.sample.X01A_saliva.q01	expression.sample.X01A_saliva.q05	expression.sample.X01A_saliva.q50	expression.sample.X01A_saliva.q95	expression.sample.X01A_saliva.q99	expression.sample.X06A_saliva.q01	expression.sample.X06A_saliva.q05	expression.sample.X06A_saliva.q50	expression.sample.X06A_saliva.q95	expression.sample.X06A_saliva.q99	expression.sample.X11A_saliva.q01	expression.sample.X11A_saliva.q05	expression.sample.X11A_saliva.q50	expression.sample.X11A_saliva.q95	expression.sample.X11A_saliva.q99	expression.sample.X30A_saliva.q01	expression.sample.X30A_saliva.q05	expression.sample.X30A_saliva.q50	expression.sample.X30A_saliva.q95	expression.sample.X30A_saliva.q99	expression.sample.X27A_saliva.q01	expression.sample.X27A_saliva.q05	expression.sample.X27A_saliva.q50	expression.sample.X27A_saliva.q95	expression.sample.X27A_saliva.q99	expression.sample.X07A_saliva.q01	expression.sample.X07A_saliva.q05	expression.sample.X07A_saliva.q50	expression.sample.X07A_saliva.q95	expression.sample.X07A_saliva.q99	expression.sample.X02A_saliva.q01	expression.sample.X02A_saliva.q05	expression.sample.X02A_saliva.q50	expression.sample.X02A_saliva.q95	expression.sample.X02A_saliva.q99	expression.sample.X31A_saliva.q01	expression.sample.X31A_saliva.q05	expression.sample.X31A_saliva.q50	expression.sample.X31A_saliva.q95	expression.sample.X31A_saliva.q99	expression.sample.X35A_saliva.q01	expression.sample.X35A_saliva.q05	expression.sample.X35A_saliva.q50	expression.sample.X35A_saliva.q95	expression.sample.X35A_saliva.q99	expression.sample.X08A_saliva.q01	expression.sample.X08A_saliva.q05	expression.sample.X08A_saliva.q50	expression.sample.X08A_saliva.q95	expression.sample.X08A_saliva.q99	expression.sample.X03A_saliva.q01	expression.sample.X03A_saliva.q05	expression.sample.X03A_saliva.q50	expression.sample.X03A_saliva.q95	expression.sample.X03A_saliva.q99	expression.sample.X28A_saliva.q01	expression.sample.X28A_saliva.q05	expression.sample.X28A_saliva.q50	expression.sample.X28A_saliva.q95	expression.sample.X28A_saliva.q99	expression.sample.X29A_saliva.q01	expression.sample.X29A_saliva.q05	expression.sample.X29A_saliva.q50	expression.sample.X29A_saliva.q95	expression.sample.X29A_saliva.q99	expression.sample.X17A_saliva.q01	expression.sample.X17A_saliva.q05	expression.sample.X17A_saliva.q50	expression.sample.X17A_saliva.q95	expression.sample.X17A_saliva.q99	expression.sample.X10A_saliva.q01	expression.sample.X10A_saliva.q05	expression.sample.X10A_saliva.q50	expression.sample.X10A_saliva.q95	expression.sample.X10A_saliva.q99	expression.sample.X09A_saliva.q01	expression.sample.X09A_saliva.q05	expression.sample.X09A_saliva.q50	expression.sample.X09A_saliva.q95	expression.sample.X09A_saliva.q99	expression.sample.X23A_saliva.q01	expression.sample.X23A_saliva.q05	expression.sample.X23A_saliva.q50	expression.sample.X23A_saliva.q95	expression.sample.X23A_saliva.q99	expression.sample.X32A_saliva.q01	expression.sample.X32A_saliva.q05	expression.sample.X32A_saliva.q50	expression.sample.X32A_saliva.q95	expression.sample.X32A_saliva.q99	expression.sample.X05A_saliva.q01	expression.sample.X05A_saliva.q05	expression.sample.X05A_saliva.q50	expression.sample.X05A_saliva.q95	expression.sample.X05A_saliva.q99	expression.sample.X37A_saliva.q01	expression.sample.X37A_saliva.q05	expression.sample.X37A_saliva.q50	expression.sample.X37A_saliva.q95	expression.sample.X37A_saliva.q99	expression.sample.X36A_saliva.q01	expression.sample.X36A_saliva.q05	expression.sample.X36A_saliva.q50	expression.sample.X36A_saliva.q95	expression.sample.X36A_saliva.q99	expression.sample.X04A_saliva.q01	expression.sample.X04A_saliva.q05	expression.sample.X04A_saliva.q50	expression.sample.X04A_saliva.q95	expression.sample.X04A_saliva.q99	expression.sample.X16A_saliva.q01	expression.sample.X16A_saliva.q05	expression.sample.X16A_saliva.q50	expression.sample.X16A_saliva.q95	expression.sample.X16A_saliva.q99	expression.sample.X14A_saliva.q01	expression.sample.X14A_saliva.q05	expression.sample.X14A_saliva.q50	expression.sample.X14A_saliva.q95	expression.sample.X14A_saliva.q99	expression.sample.X20A_saliva.q01	expression.sample.X20A_saliva.q05	expression.sample.X20A_saliva.q50	expression.sample.X20A_saliva.q95	expression.sample.X20A_saliva.q99	expression.sample.X25A_saliva.q01	expression.sample.X25A_saliva.q05	expression.sample.X25A_saliva.q50	expression.sample.X25A_saliva.q95	expression.sample.X25A_saliva.q99	expression.sample.X40A_saliva.q01	expression.sample.X40A_saliva.q05	expression.sample.X40A_saliva.q50	expression.sample.X40A_saliva.q95	expression.sample.X40A_saliva.q99	expression.sample.X38A_saliva.q01	expression.sample.X38A_saliva.q05	expression.sample.X38A_saliva.q50	expression.sample.X38A_saliva.q95	expression.sample.X38A_saliva.q99	expression.sample.X21A_saliva.q01	expression.sample.X21A_saliva.q05	expression.sample.X21A_saliva.q50	expression.sample.X21A_saliva.q95	expression.sample.X21A_saliva.q99	expression.sample.X26A_saliva.q01	expression.sample.X26A_saliva.q05	expression.sample.X26A_saliva.q50	expression.sample.X26A_saliva.q95	expression.sample.X26A_saliva.q99	expression.sample.X39A_saliva.q01	expression.sample.X39A_saliva.q05	expression.sample.X39A_saliva.q50	expression.sample.X39A_saliva.q95	expression.sample.X39A_saliva.q99	expression.sample.X42A_saliva.q01	expression.sample.X42A_saliva.q05	expression.sample.X42A_saliva.q50	expression.sample.X42A_saliva.q95	expression.sample.X42A_saliva.q99	expression.sample.X19A_saliva.q01	expression.sample.X19A_saliva.q05	expression.sample.X19A_saliva.q50	expression.sample.X19A_saliva.q95	expression.sample.X19A_saliva.q99	expression.sample.X43A_saliva.q01	expression.sample.X43A_saliva.q05	expression.sample.X43A_saliva.q50	expression.sample.X43A_saliva.q95	expression.sample.X43A_saliva.q99	expression.sample.X24A_saliva.q01	expression.sample.X24A_saliva.q05	expression.sample.X24A_saliva.q50	expression.sample.X24A_saliva.q95	expression.sample.X24A_saliva.q99	expression.sample.X44A_saliva.q01	expression.sample.X44A_saliva.q05	expression.sample.X44A_saliva.q50	expression.sample.X44A_saliva.q95	expression.sample.X44A_saliva.q99	expression.sample.X41A_saliva.q01	expression.sample.X41A_saliva.q05	expression.sample.X41A_saliva.q50	expression.sample.X41A_saliva.q95	expression.sample.X41A_saliva.q99	expression.sample.X34A_saliva.q01	expression.sample.X34A_saliva.q05	expression.sample.X34A_saliva.q50	expression.sample.X34A_saliva.q95	expression.sample.X34A_saliva.q99	difference.between.q01	difference.between.q05	difference.between.q50	difference.between.q95	difference.between.q99	difference.within.q01	difference.within.q05	difference.within.q50	difference.within.q95	difference.within.q99	effect.q01	effect.q05	effect.q50	effect.q95	effect.q99	criteria.significance	criteria.significant	criteria.meaning	criteria.meaningful
1	-12.168	-7.577	-0.68	2.579	4.402	-11.551	-6.979	-0.294	3.689	4.608	-12.698	-8.041	-1.047	1.996	2.725	-10.119	-6.955	-0.875	2.235	3.177	-5.48	-4.107	-1.408	0.309	0.914	-12.716	-8.318	-1.915	1.185	2.02	-2.207	-1.278	0.707	2.052	2.598	-2.883	-1.285	1.361	3.155	3.689	-15.571	-10.608	-3.677	-0.683	-0.066	-16.409	-11.207	-3.444	-0.066	0.543	-0.649	0.066	1.404	2.44	2.752	-13.152	-9.779	-2.656	0.317	1.066	-13.015	-9.016	-2.212	0.797	1.693	-5.036	-3.827	-0.836	0.931	1.415	-13.94	-8.582	-1.848	1.075	1.806	-12.673	-8.555	-1.797	1.007	1.89	-14.874	-9.802	-2.774	0.349	1.268	-2.898	-1.573	0.288	1.584	1.96	-0.078	0.7	2.49	3.622	3.994	-0.636	-0.017	1.321	2.334	2.704	3.394	3.673	4.302	4.868	5.07	-1.855	-0.814	1.087	2.437	2.888	-4.166	-2.669	-0.001	1.797	2.378	-13.569	-9.9	-2.867	0.086	1.081	-0.254	0.308	1.482	2.363	2.723	-3.332	-2.534	-0.55	0.821	1.292	-13.397	-9.34	-2.673	0.395	1.067	-13.502	-8.343	-1.107	1.967	2.783	-13.042	-8.91	-1.586	1.417	2.315	-12.793	-8.541	-1.202	1.726	2.451	-16.699	-9.706	-2.432	0.679	1.686	-2.537	-1.263	0.571	1.811	2.309	-13.335	-8.806	-1.598	1.565	2.367	-12.04	-7.751	-1.086	1.872	2.641	-14.108	-9.858	-3.026	0.165	0.896	-14.604	-9.968	-2.989	0.064	0.855	-12.199	-7.804	-1.207	1.748	2.381	-12.711	-7.501	-0.738	2.14	3.014	-0.267	0.353	1.943	3.126	3.567	-15.464	-10.203	-2.629	0.549	1.251	-12.486	-7.798	-1.602	1.454	2.381	-13.171	-7.957	-1.367	1.685	2.419	-2.719	-1.86	0.071	1.398	1.771	-13.141	-8.431	-0.795	6.466	10.987	0.482	1.111	4.348	11.475	16.183	-7.183	-2.903	-0.161	2.005	5.26	0.415	FALSE	0.161	FALSE
2	-3.469	0.73	4.19	8.093	8.735	-5.532	-0.33	3.924	7.054	7.613	0.364	1.366	4.706	8.622	8.793	6.934	7.07	7.42	7.788	7.95	6.568	6.645	6.844	7.047	7.123	5.143	5.341	5.719	6.115	6.328	4.216	4.45	4.884	5.31	5.463	1.686	2.444	3.595	4.535	4.917	-1.382	-0.762	0.584	1.637	2.038	-0.026	0.452	1.571	2.461	2.809	5.754	5.863	6.163	6.457	6.595	2.502	2.803	3.439	3.992	4.197	2.773	3.1	3.807	4.441	4.64	2.079	2.359	3.002	3.54	3.786	3.66	3.952	4.581	5.131	5.386	2.911	3.196	3.898	4.47	4.73	-15.048	-10.31	-2.757	0.387	0.977	5.25	5.333	5.655	5.982	6.111	4.699	4.924	5.481	5.986	6.16	1.349	1.782	2.623	3.352	3.605	1.909	2.248	3.188	3.995	4.299	2.337	2.721	3.454	4.098	4.354	3.119	3.412	4.023	4.598	4.795	6.75	6.839	7.08	7.33	7.424	6.099	6.194	6.438	6.678	6.786	4.261	4.389	4.683	4.979	5.105	0.607	1.112	2.103	2.944	3.268	-0.843	0.333	2.284	3.635	4.075	4.338	4.539	5.131	5.615	5.907	0.463	1.017	2.655	3.848	4.325	1.086	1.61	2.549	3.39	3.665	5.85	5.967	6.253	6.508	6.6	2.498	2.879	3.738	4.428	4.66	4.956	5.229	5.771	6.25	6.422	1.225	1.675	2.521	3.235	3.484	8.354	8.43	8.627	8.836	8.929	4.483	4.719	5.25	5.748	5.962	3.922	4.246	4.913	5.586	5.814	6.196	6.355	6.693	7.025	7.161	-0.985	-0.094	1.331	2.509	2.91	8.24	8.355	8.614	8.873	9.005	0.523	1.414	2.852	3.894	4.249	3.223	3.433	3.88	4.273	4.453	-5.497	-4.043	0.602	6.242	11.049	0.397	0.988	3.42	7.696	12.479	-3.37	-1.47	0.156	2.751	6.452	0.428	FALSE	0.156	FALSE
3	5.001	5.378	7.655	10.868	11.455	5.081	5.369	7.262	9.538	10.113	4.91	5.398	8.091	11.203	11.517	5.587	5.792	6.295	6.773	6.935	9.806	9.87	10.028	10.2	10.278	7.357	7.482	7.727	7.972	8.112	8.402	8.489	8.711	8.925	9.02	6.466	6.647	7.026	7.377	7.573	4.824	4.931	5.234	5.525	5.656	5.117	5.199	5.499	5.788	5.91	8.44	8.51	8.717	8.944	9.031	8.485	8.57	8.776	8.982	9.088	7.163	7.282	7.538	7.795	7.926	6.715	6.814	7.046	7.257	7.382	6.808	6.933	7.238	7.512	7.631	7.794	7.882	8.126	8.37	8.456	6.514	6.645	6.916	7.2	7.299	6.321	6.418	6.674	6.932	7.079	6.147	6.298	6.707	7.112	7.257	5.773	5.853	6.143	6.432	6.543	8.368	8.449	8.671	8.896	8.996	6.842	6.954	7.217	7.5	7.616	7.168	7.275	7.519	7.761	7.888	9.333	9.4	9.6	9.793	9.881	8.678	8.751	8.939	9.145	9.226	7.93	7.989	8.158	8.343	8.427	5.394	5.522	5.836	6.148	6.291	6.786	6.952	7.286	7.639	7.762	8.723	8.809	9.063	9.301	9.403	10.488	10.597	10.829	11.065	11.174	8.997	9.088	9.291	9.498	9.585	7.184	7.27	7.509	7.741	7.803	7.255	7.359	7.651	7.951	8.058	7.128	7.272	7.585	7.921	8.043	7.075	7.161	7.377	7.593	7.675	11.187	11.24	11.428	11.61	11.703	8.808	8.9	9.135	9.379	9.465	7.492	7.611	7.939	8.264	8.41	8.852	8.959	9.188	9.415	9.525	4.546	4.698	5.139	5.538	5.691	10.602	10.681	10.905	11.137	11.219	5.064	5.256	5.769	6.208	6.424	7.552	7.626	7.829	8.032	8.127	-3.774	-2.533	0.873	4.257	5.534	0.211	0.489	2.153	4.744	5.885	-5.714	-1.363	0.411	2.928	8.97	0.306	FALSE	0.411	FALSE
4	0.755	1.646	4.397	6.029	6.475	0.749	1.644	4.209	5.751	5.971	0.759	1.648	4.627	6.245	6.573	1.773	2.446	3.629	4.594	4.892	3.877	4.051	4.405	4.735	4.85	2.064	2.418	3.311	4.065	4.321	3.33	3.604	4.16	4.65	4.86	3.268	3.657	4.556	5.239	5.547	1.016	1.343	2.11	2.738	2.94	-0.335	0.137	1.346	2.275	2.669	4.114	4.291	4.695	5.143	5.281	5.065	5.187	5.508	5.836	5.977	2.013	2.353	3.214	3.926	4.206	5.07	5.223	5.521	5.795	5.911	0.955	1.49	2.697	3.628	3.935	3.965	4.231	4.755	5.229	5.437	5.214	5.359	5.686	6.002	6.159	1.125	1.463	2.382	3.133	3.352	3.594	3.936	4.651	5.324	5.561	2.007	2.364	3.092	3.716	3.905	5.076	5.258	5.662	6.069	6.201	4.823	5	5.402	5.782	5.942	2.249	2.613	3.328	4.038	4.343	5.348	5.476	5.784	6.085	6.221	4.142	4.323	4.681	5.046	5.191	4.603	4.731	5.019	5.285	5.418	0.198	0.774	1.85	2.803	3.125	2.752	3.215	4.133	4.925	5.141	3.316	3.695	4.396	5.004	5.272	4.163	4.434	5.033	5.668	5.868	5.991	6.13	6.423	6.713	6.847	3.308	3.568	4.094	4.564	4.747	2.813	3.264	4.048	4.723	4.943	0.447	1.023	2.619	3.777	4.113	2.059	2.347	3.037	3.649	3.826	5.406	5.514	5.826	6.115	6.244	4.504	4.772	5.327	5.828	6.008	-0.701	0.443	2.312	3.64	4.057	5.434	5.581	5.98	6.342	6.477	1.13	1.526	2.509	3.362	3.603	5.156	5.354	5.786	6.206	6.43	-0.07	0.897	2.479	3.677	4.106	5.316	5.45	5.74	6.015	6.107	-4.21	-3.094	0.386	3.597	4.668	0.29	0.655	2.277	4.373	5.228	-5.452	-2.193	0.163	2.067	4.091	0.417	FALSE	0.163	FALSE
5	-9.452	-5.041	1.216	4.105	5.12	-10.618	-6.135	1.144	4.715	5.239	-7.595	-3.45	1.261	3.805	4.196	-11.653	-7.965	-0.834	2.232	2.98	-1.076	-0.481	0.711	1.679	1.999	0.791	1.348	2.529	3.477	3.852	0.463	1.122	2.181	2.997	3.34	-12.669	-7.338	-0.868	2.237	3.039	2.36	2.583	3.127	3.616	3.812	-13.337	-10.167	-3.118	-0.008	0.726	2.534	2.776	3.453	4.013	4.205	4.515	4.689	5.063	5.421	5.536	-13.683	-9.313	-2.167	0.758	1.813	-14.585	-9.771	-3.031	-0.103	0.556	-3.589	-2.233	0.61	2.383	2.944	-4.266	-2.386	0.282	1.928	2.384	-13.729	-8.722	-2.497	0.469	1.422	2.056	2.382	3.091	3.684	3.884	-0.023	1.073	2.466	3.584	4.098	-0.6	-0.03	1.328	2.312	2.597	-4.011	-2.459	0.339	2.117	2.669	3.3	3.594	4.222	4.765	5.006	-13.27	-8.881	-2.419	0.75	1.401	3.11	3.304	3.834	4.351	4.521	2.398	2.657	3.229	3.749	3.974	-2.405	-1.684	-0.058	1.085	1.443	-2.22	-1.271	0.606	1.967	2.329	-2.645	-1.144	1.435	3.14	3.653	-1.162	-0.13	1.687	3.042	3.386	-11.573	-7.705	-1.381	1.856	2.74	-4.958	-2.947	-0.013	1.629	2.163	-0.653	0.123	1.449	2.484	2.894	0.078	0.63	2.22	3.393	3.789	-12.602	-7.769	-1.31	1.809	2.488	-5.287	-3.403	-0.568	1.194	1.68	2.924	3.174	3.715	4.236	4.422	-3.52	-1.925	1.012	2.795	3.356	-11.473	-7.138	-1.038	2.1	3.113	1.302	1.804	2.868	3.741	4.064	0.152	0.83	2.015	3.015	3.368	-3.832	-1.782	0.86	2.582	3.077	-12.171	-7.632	-1.017	1.878	2.421	0.283	0.769	1.688	2.513	2.798	-9.425	-5.604	0.123	7.717	12.132	0.443	1.009	3.846	10.679	15.121	-5.361	-2.134	0.027	2.696	6.677	0.486	FALSE	0.027	FALSE
6	-2.212	1.951	4.318	7.592	8.362	1.863	2.458	4.247	8.008	8.444	-4.333	1.152	4.42	7.391	7.577	2.376	2.81	3.894	4.736	5.099	6.851	6.919	7.097	7.305	7.397	2.766	3.075	3.833	4.488	4.72	2.818	3.065	3.673	4.259	4.421	3.325	3.656	4.542	5.284	5.598	3.328	3.521	3.946	4.337	4.516	1.405	1.794	2.541	3.176	3.378	2.879	3.121	3.714	4.265	4.484	6.103	6.22	6.501	6.771	6.894	2.971	3.305	3.973	4.563	4.818	5.799	5.904	6.143	6.418	6.553	1.292	1.819	2.938	3.814	4.107	1.913	2.382	3.267	4.068	4.274	7.996	8.096	8.325	8.564	8.681	7.4	7.497	7.709	7.94	8.025	4.508	4.769	5.302	5.841	6.048	3.69	3.885	4.306	4.75	4.917	1.15	1.729	2.764	3.671	3.922	5.634	5.807	6.132	6.459	6.618	3.733	3.989	4.516	5.002	5.194	5.938	6.043	6.317	6.587	6.702	5.69	5.798	6.05	6.322	6.416	3.966	4.079	4.42	4.725	4.863	0.889	1.369	2.333	3.167	3.509	2.755	3.094	4.013	4.781	5.047	2.309	2.74	3.646	4.421	4.656	2.733	3.202	4.113	4.919	5.184	0.814	1.277	2.307	3.219	3.565	5.929	6.023	6.285	6.573	6.694	0.783	1.376	2.641	3.622	4.063	2.071	2.551	3.57	4.457	4.699	2.032	2.338	3.036	3.614	3.902	5.488	5.612	5.888	6.181	6.287	4.015	4.345	4.967	5.526	5.793	1.141	1.911	3.308	4.331	4.683	6.965	7.066	7.337	7.63	7.739	5.471	5.606	5.924	6.255	6.388	-12.687	-8.321	-1.385	1.662	2.397	4.31	4.474	5.094	5.665	5.824	7.15	7.222	7.429	7.638	7.73	-9.481	-5.197	-0.203	3.573	4.628	0.355	0.809	2.914	6.446	11.334	-5.9	-2.772	-0.063	1.895	4.658	0.466	FALSE	0.063	FALSE
7	2.46	3.117	4.98	7.643	8.822	2.285	2.888	5.162	8.341	8.904	2.889	3.329	4.947	6.746	7.25	4.803	5.014	5.639	6.146	6.318	7.006	7.063	7.251	7.44	7.536	5.651	5.775	6.142	6.491	6.617	5.282	5.427	5.76	6.094	6.204	3.156	3.514	4.418	5.107	5.356	3.271	3.423	3.838	4.221	4.398	2.932	3.096	3.575	4.028	4.316	1.97	2.322	3.05	3.679	3.904	3.212	3.475	3.944	4.394	4.67	3.38	3.649	4.26	4.786	4.982	7.222	7.313	7.517	7.742	7.837	3.665	3.981	4.576	5.159	5.392	8.456	8.577	8.791	9.034	9.121	7.422	7.486	7.73	7.974	8.089	6.259	6.362	6.631	6.888	6.989	2.605	3.033	4.016	4.79	5.047	1.554	1.925	2.777	3.416	3.7	3.467	3.724	4.328	4.9	5.099	7.086	7.172	7.436	7.707	7.823	6.882	6.959	7.202	7.453	7.562	5.594	5.709	6.018	6.323	6.432	4.762	4.899	5.229	5.553	5.702	4.653	4.793	5.067	5.347	5.464	2.483	2.751	3.421	3.994	4.242	4.332	4.512	5.216	5.803	6.023	3.38	3.849	4.529	5.129	5.419	2.95	3.294	4.131	4.878	5.034	6.732	6.865	7.12	7.38	7.49	2.87	3.075	3.67	4.218	4.389	2.735	3.098	3.899	4.617	4.836	2.27	2.829	3.797	4.594	4.958	3.368	3.514	4.023	4.479	4.625	6.009	6.128	6.395	6.667	6.757	5.066	5.314	5.79	6.214	6.401	4.329	4.567	5.236	5.83	6.102	5.644	5.804	6.203	6.556	6.688	3.912	4.187	4.67	5.069	5.271	3.944	4.275	4.886	5.411	5.619	2.951	3.386	4.17	4.936	5.248	5.576	5.688	5.958	6.223	6.322	-4.908	-3.881	-0.37	2.773	3.735	0.288	0.608	2.326	4.731	5.631	-6.011	-3.117	-0.158	1.712	4.143	0.437	FALSE	0.158	FALSE
8	7.078	7.537	9.323	11.393	12.364	7.189	7.56	9.407	11.064	11.417	6.986	7.49	9.246	11.925	12.427	8.765	8.872	9.138	9.407	9.515	10.623	10.688	10.839	11.006	11.073	8.688	8.794	9.017	9.241	9.32	9.241	9.304	9.508	9.71	9.796	7.487	7.658	7.975	8.308	8.407	8.329	8.388	8.581	8.757	8.848	9.121	9.205	9.386	9.577	9.681	8.578	8.664	8.861	9.082	9.162	10.173	10.244	10.45	10.642	10.756	7.377	7.488	7.73	7.98	8.113	9.221	9.287	9.47	9.662	9.747	9.565	9.646	9.864	10.093	10.193	10.385	10.463	10.664	10.862	10.951	11.054	11.119	11.313	11.516	11.609	10.277	10.342	10.528	10.719	10.815	6.92	7.04	7.362	7.702	7.865	7.525	7.605	7.812	8.062	8.133	8.242	8.34	8.581	8.805	8.892	10.317	10.386	10.59	10.798	10.873	9.666	9.745	9.937	10.141	10.22	9.907	9.972	10.161	10.347	10.434	10.066	10.147	10.322	10.518	10.602	9.271	9.351	9.512	9.686	9.753	7.499	7.596	7.821	8.054	8.149	7.886	8.004	8.302	8.614	8.728	7.376	7.491	7.778	8.058	8.17	9.908	10.039	10.276	10.503	10.615	12.07	12.141	12.333	12.525	12.612	9.004	9.07	9.27	9.463	9.55	8.027	8.163	8.413	8.674	8.775	7.921	8.05	8.311	8.587	8.687	11.221	11.284	11.455	11.629	11.719	9.986	10.064	10.248	10.433	10.519	8.964	9.083	9.321	9.561	9.646	7.915	8.032	8.327	8.626	8.744	8.544	8.652	8.887	9.116	9.207	9.027	9.106	9.32	9.528	9.596	10.753	10.844	11.059	11.288	11.388	6.667	6.794	7.174	7.501	7.647	8.449	8.53	8.704	8.889	8.981	-3.513	-2.727	-0.134	2.942	4.213	0.288	0.654	1.97	3.807	4.583	-5.903	-2.458	-0.059	1.76	3.802	0.471	FALSE	0.059	FALSE
9	-11.79	-7.038	-0.589	2.65	3.996	-10.856	-6.256	-0.308	3.207	4.191	-12.641	-7.619	-0.893	2.298	2.992	-13.006	-7.607	-0.848	2.188	2.889	-5.917	-4.299	-1.396	0.371	0.866	-2.343	-0.743	1.235	2.573	3.022	0.185	0.798	1.972	2.912	3.122	-11.391	-7.626	-1.108	2.227	2.989	-6.039	-3.975	-1.239	0.609	1.061	-14.975	-9.671	-3.214	-0.082	0.798	-0.654	0.014	1.386	2.45	2.86	0.974	1.489	2.361	3.133	3.396	-13.995	-9.081	-1.984	0.965	1.763	-15.843	-9.922	-3.111	-0.031	0.778	-14.189	-8.306	-1.813	1.387	2.282	-3.597	-2.227	0.259	2.012	2.532	-4.833	-3.155	-0.294	1.43	1.956	-5.18	-3.407	-0.609	1.184	1.702	-12.999	-8.653	-1.141	1.69	2.606	-5.033	-3.124	-0.43	1.18	1.798	-4.499	-2.287	0.481	2.176	2.696	2.903	3.189	3.896	4.529	4.772	-13.98	-9.372	-2.44	0.935	1.603	-4.847	-3.318	-0.536	1.222	1.768	0.339	0.78	1.745	2.571	2.8	-5.842	-4.243	-1.438	0.28	0.714	-2.296	-1.26	0.622	1.915	2.462	-13.889	-7.851	-1.083	2.246	3.048	-1.266	-0.043	1.732	3.175	3.634	-14.062	-8.423	-1.12	1.912	2.786	-13.478	-9.086	-2.426	0.565	1.288	-13.38	-9.198	-2.7	0.4	1.217	-12.536	-8.236	-1.523	1.605	2.27	-13.666	-8.064	-1.202	1.902	2.912	-15.555	-9.948	-2.765	0.123	0.883	-14.721	-9.608	-3.038	0.015	0.817	-12.293	-8.185	-1.411	1.644	2.497	-12.37	-7.881	-0.953	2.117	2.779	-0.46	0.18	1.91	3.078	3.42	-13.695	-9.058	-2.582	0.547	1.495	-3.828	-2.005	0.836	2.542	3.202	-13.41	-8.492	-1.192	1.9	2.786	-15.95	-9.759	-3.282	-0.083	0.593	-12.788	-8.001	-0.635	6.052	10.558	0.479	1.084	4.139	11.028	15.714	-7.15	-2.898	-0.136	1.976	5.054	0.431	FALSE	0.136	FALSE
10	-13.912	-9.144	-2.269	1.134	2.18	-13.959	-9.162	-2.299	0.934	2.013	-13.848	-9.126	-2.233	1.313	2.331	-12.636	-7.858	-0.834	2.2	2.983	-6.16	-4.174	-1.343	0.405	0.922	-14.687	-8.779	-1.89	1.175	1.921	-13.594	-9.537	-2.596	0.556	1.499	-13.349	-8.099	-1.02	2.131	3.162	-15.124	-10.46	-3.697	-0.51	0.25	-14.141	-10.116	-3.364	-0.172	0.647	-15.336	-9.704	-2.711	0.219	1.038	-13.815	-9.35	-3.006	0.081	0.757	-13.47	-9.282	-2.19	0.72	1.67	-16.299	-10.078	-3.055	-0.018	0.718	-14.976	-8.893	-1.818	1.113	1.872	-14.829	-9.473	-2.036	0.971	1.725	-12.961	-9.178	-2.682	0.266	0.93	-14.534	-9.693	-3.08	0.116	0.858	-12.037	-8.265	-1.432	1.773	2.369	-14.182	-9.18	-2.903	0.271	1.299	-13.16	-8.808	-2.017	1.147	1.91	-15.521	-8.865	-2.142	0.886	1.746	-14.212	-9.682	-2.524	0.665	1.491	-13.29	-8.599	-2.772	0.217	0.868	-15.982	-10.31	-3.25	-0.122	0.609	-14.724	-11.176	-3.921	-0.777	0.109	-14.795	-9.862	-2.675	0.519	1.452	-12.614	-8.277	-1.03	2.07	2.922	-12.213	-8.075	-1.625	1.515	2.223	-14.257	-8.233	-1.128	2.002	2.846	-12.941	-9.059	-2.421	0.533	1.328	-12.903	-9.405	-2.833	0.274	1.011	-12.742	-8.121	-1.579	1.495	2.296	-13.178	-8.34	-1.341	1.829	2.746	-14.512	-9.177	-2.869	0.172	0.824	-13.397	-9.769	-3.01	-0.034	0.712	-11.57	-8.3	-1.406	1.721	2.756	-14.06	-7.948	-0.863	2.251	3.016	-13.817	-8.173	-1.819	1.213	1.994	-15.31	-10.033	-2.67	0.511	1.345	-12.961	-8.46	-1.479	1.571	2.442	-12.482	-8.573	-1.569	1.899	2.458	-15.011	-10.561	-3.262	-0.2	0.583	-11.988	-7.384	0.135	7.649	12.287	0.478	1.096	4.346	11.472	16.379	-6.22	-2.427	0.028	2.564	6.448	0.486	FALSE	0.028	FALSE
